,cik,latitude,longitude,official_address
273,1533924,29.75770919999999,-95.3706991,"500 Dallas St, Houston, TX 77002, USA"
274,350852,37.4859742,-82.5428903,"346 N Mayo Trail, Pikeville, KY 41501, USA"
275,1558569,42.4736785,-71.2509018,"450 Bedford St, Lexington, MA 02420, USA"
276,1829426,40.73574139999999,-73.99769470000001,"480 6th Ave, New York, NY 10011, USA"
277,947559,31.3165046,-89.41335970000002,"6480 US-98, Hattiesburg, MS 39402, USA"
278,1013488,33.734938,-117.9951405,"7755 Center Ave, Huntington Beach, CA 92647, USA"
279,1603978,42.4306078,-71.4587852,"Main St, Maynard, MA 01754, USA"
280,1823882,26.3949117,-80.1004768,"777 Yamato Rd, Boca Raton, FL 33487, USA"
281,1261654,33.6017922,-111.9903488,"4225 E Windrose Dr, Phoenix, AZ 85032, USA"
282,1501697,42.3541977,-71.1408922,"61 N Beacon St, Boston, MA 02134, USA"
283,1853112,40.3575771,-74.6625949,"281 Witherspoon St, Princeton, NJ 08540, USA"
284,1115055,36.160032,-86.7743931,"The Pinnacle at Symphony Place, 150 3rd Ave S, Nashville, TN 37201, USA"
285,1478069,40.9360936,-73.9001578,"28 Wells Ave, Yonkers, NY 10701, USA"
286,1285785,27.9467845,-82.45909929999999,"101 E Kennedy Blvd, Tampa, FL 33602, USA"
287,1866175,29.7604763,-95.36410509999999,"JPMorgan Chase Tower, 600 Travis St, Houston, TX 77002, USA"
288,1781730,30.0086688,-95.26473,"20202 US-59, Humble, TX 77338, USA"
289,1505512,32.8891876,-117.2239764,"4224 Campus Point Ct, San Diego, CA 92121, USA"
290,1077771,45.5138715,-122.6790705,"SW Columbia St, Portland, OR 97204, USA"
291,1828325,39.7679826,-86.1586063,"40 Monument Cir, Indianapolis, IN 46204, USA"
292,1819881,33.9283213,-84.33423739999999,"303 Perimeter Center N, Dunwoody, GA 30346, USA"
293,1053691,38.03010380000001,-78.4799451,"300 E Main St, Charlottesville, VA 22902, USA"
294,1479681,26.138429,-80.11358899999999,"2455 E Sunrise Blvd, Fort Lauderdale, FL 33304, USA"
